Anno,Codice_Istat_Provincia,Provincia,Codice_Istat_Comune,Comune,Totale_residenti_al_31_12,Indice_di_Lesivita,Indice_di_Pericolosita,Indice_di_Mortalita
2010,12,VARESE,12026,BUSTO ARSIZIO,81760,135.05,1.25,1.72
2010,12,VARESE,12040,CASSANO MAGNAGO,21595,148.75,1.65,2.50
2010,12,VARESE,12070,GALLARATE,51751,138.29,0.41,0.57
2010,12,VARESE,12119,SARONNO,39161,130.41,0.78,1.03
2010,12,VARESE,12133,VARESE,81579,134.77,1.57,2.16
2010,13,COMO,13041,CANTU',39540,153.91,0.51,0.78
2010,13,COMO,13075,COMO,85263,126.80,0.49,0.62
2010,13,COMO,13143,MARIANO COMENSE,23890,121.18,0.00,0.00
2010,14,SONDRIO,14061,SONDRIO,22365,118.75,2.56,3.13
2010,15,MILANO,15002,ABBIATEGRASSO,32035,133.08,0.00,0.00
2010,15,MILANO,15027,BOLLATE,36467,137.60,0.00,0.00
2010,15,MILANO,15032,BRESSO,26399,131.52,0.82,1.09
2010,15,MILANO,15036,BUCCINASCO,26937,119.44,0.00,0.00
2010,15,MILANO,15070,CERNUSCO SUL NAVIGLIO,31058,131.07,0.00,0.00
2010,15,MILANO,15074,CESANO BOSCONE,23935,122.47,1.80,2.25
2010,15,MILANO,15077,CINISELLO BALSAMO,74150,133.26,0.51,0.68
2010,15,MILANO,15081,COLOGNO MONZESE,47794,129.91,1.02,1.34
2010,15,MILANO,15086,CORMANO,20270,130.84,0.71,0.93
2010,15,MILANO,15087,CORNAREDO,20546,117.74,5.19,6.45
2010,15,MILANO,15093,CORSICO,34507,126.67,1.55,2.00
2010,15,MILANO,15105,GARBAGNATE MILANESE,27193,135.80,0.90,1.23
2010,15,MILANO,15116,LAINATE,25343,137.11,0.00,0.00
2010,15,MILANO,15118,LEGNANO,59147,140.82,0.58,0.82
2010,15,MILANO,15130,MAGENTA,23513,132.89,0.98,1.32
2010,15,MILANO,15146,MILANO,1324110,134.83,0.35,0.48
2010,15,MILANO,15157,NOVATE MILANESE,20201,144.58,0.00,0.00
2010,15,MILANO,15166,PADERNO DUGNANO,47695,133.05,0.95,1.27
2010,15,MILANO,15168,PARABIAGO,26952,124.72,0.89,1.12
2010,15,MILANO,15171,PESCHIERA BORROMEO,22774,144.64,1.22,1.79
2010,15,MILANO,15175,PIOLTELLO,36369,135.96,0.82,1.12
2010,15,MILANO,15182,RHO,50686,141.20,1.12,1.60
2010,15,MILANO,15189,ROZZANO,41363,143.09,0.38,0.55
2010,15,MILANO,15192,SAN DONATO MILANESE,32702,146.28,0.56,0.83
2010,15,MILANO,15195,SAN GIULIANO MILANESE,36871,155.56,0.34,0.53
2010,15,MILANO,15205,SEGRATE,34352,139.60,0.95,1.34
2010,15,MILANO,15206,SENAGO,21273,127.42,1.25,1.61
2010,15,MILANO,15209,SESTO SAN GIOVANNI,81130,128.44,2.17,2.84
2010,16,BERGAMO,16024,BERGAMO,119551,130.02,0.43,0.56
2010,16,BERGAMO,16091,DALMINE,23266,140.91,0.80,1.14
2010,16,BERGAMO,16198,SERIATE,24297,159.60,1.86,3.03
2010,16,BERGAMO,16219,TREVIGLIO,29034,141.89,0.47,0.68
2010,17,BRESCIA,17029,BRESCIA,193879,141.67,0.42,0.60
2010,17,BRESCIA,17067,DESENZANO DEL GARDA,27229,142.95,2.19,3.21
2010,17,BRESCIA,17096,LUMEZZANE,23828,143.24,0.00,0.00
2010,17,BRESCIA,17113,MONTICHIARI,23339,150.56,0.74,1.12
2010,18,PAVIA,18110,PAVIA,71142,137.30,0.34,0.47
2010,18,PAVIA,18177,VIGEVANO,63700,136.84,1.02,1.40
2010,18,PAVIA,18182,VOGHERA,39937,139.25,0.77,1.08
2010,19,CREMONA,19035,CREMA,34144,125.55,0.00,0.00
2010,19,CREMONA,19036,CREMONA,72147,125.71,0.69,0.87
2010,20,MANTOVA,20017,CASTIGLIONE DELLE STIVIERE,22700,149.18,2.15,3.28
2010,20,MANTOVA,20030,MANTOVA,48612,131.65,0.76,1.01
2010,20,MANTOVA,20065,SUZZARA,20648,136.11,0.00,0.00
2010,97,LECCO,97042,LECCO,48114,117.31,0.30,0.35
2010,98,LODI,98031,LODI,44401,142.94,1.62,2.35
2010,108,MONZA E DELLA BRIANZA,108012,BRUGHERIO,33484,116.94,0.68,0.81
2010,108,MONZA E DELLA BRIANZA,108019,CESANO MADERNO,37291,128.68,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108023,DESIO,40661,117.90,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108024,GIUSSANO,24672,142.50,0.58,0.83
2010,108,MONZA E DELLA BRIANZA,108027,LIMBIATE,35168,110.00,1.00,1.11
2010,108,MONZA E DELLA BRIANZA,108028,LISSONE,42474,113.25,0.58,0.66
2010,108,MONZA E DELLA BRIANZA,108030,MEDA,23221,128.92,0.93,1.20
2010,108,MONZA E DELLA BRIANZA,108033,MONZA,122712,118.08,0.87,1.04
2010,108,MONZA E DELLA BRIANZA,108034,MUGGIO',23433,115.52,1.47,1.72
2010,108,MONZA E DELLA BRIANZA,108035,NOVA MILANESE,23152,113.75,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108039,SEREGNO,43163,115.23,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108040,SEVESO,22877,117.07,0.00,0.00
2010,108,MONZA E DELLA BRIANZA,108050,VIMERCATE,25758,128.28,1.59,2.07
2011, 18,PAVIA,18182,VOGHERA,38020,139.11,0.71,0.99
2011, 108,MONZA E DELLA BRIANZA,108024,GIUSSANO,24461,125.76,1.19,1.52
2011, 98,LODI,98031,LODI,43231,140.00,0.35,0.49
2011, 17,BRESCIA,17096,LUMEZZANE,23354,121.95,1.96,2.44
2011, 15,MILANO,15189,ROZZANO,39882,135.75,0.41,0.56
2011, 97,LECCO,97042,LECCO,46673,126.87,0.29,0.37
2011, 108,MONZA E DELLA BRIANZA,108035,NOVA MILANESE,22261,125.93,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108030,MEDA,23068,123.73,1.35,1.69
2011, 15,MILANO,15116,LAINATE,24984,133.03,2.03,2.75
2011, 15,MILANO,15118,LEGNANO,57707,137.82,1.12,1.55
2011, 20,MANTOVA,20030,MANTOVA,46547,136.51,0.00,0.00
2011, 19,CREMONA,19035,CREMA,33086,138.18,1.30,1.82
2011, 12,VARESE,12040,CASSANO MAGNAGO,21400,141.76,1.53,2.20
2011, 15,MILANO,15205,SEGRATE,33458,120.92,0.00,0.00
2011, 15,MILANO,15166,PADERNO DUGNANO,46489,139.05,0.68,0.95
2011, 15,MILANO,15195,SAN GIULIANO MILANESE,35835,133.93,0.44,0.60
2011, 15,MILANO,15093,CORSICO,33640,127.50,0.00,0.00
2011, 12,VARESE,12119,SARONNO,38644,134.31,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108050,VIMERCATE,25334,140.82,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108034,MUGGIO',23270,129.03,0.00,0.00
2011, 20,MANTOVA,20017,CASTIGLIONE DELLE STIVIERE,22082,123.08,4.00,5.13
2011, 16,BERGAMO,16024,BERGAMO,115374,130.79,0.57,0.74
2011, 12,VARESE,12133,VARESE,79405,136.41,1.00,1.38
2011, 13,COMO,13041,CANTU',38716,140.88,1.53,2.19
2011, 15,MILANO,15182,RHO,49935,136.94,0.81,1.12
2011, 15,MILANO,15002,ABBIATEGRASSO,30923,133.33,1.18,1.59
2011, 15,MILANO,15206,SENAGO,20914,123.73,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108019,CESANO MADERNO,36937,125.68,0.00,0.00
2011, 15,MILANO,15070,CERNUSCO SUL NAVIGLIO,30645,126.32,0.00,0.00
2011, 15,MILANO,15105,GARBAGNATE MILANESE,26360,141.18,0.83,1.18
2011, 15,MILANO,15077,CINISELLO BALSAMO,70880,130.57,0.00,0.00
2011, 15,MILANO,15036,BUCCINASCO,26492,135.59,1.23,1.69
2011, 17,BRESCIA,17067,DESENZANO DEL GARDA,26849,145.86,0.43,0.64
2011, 108,MONZA E DELLA BRIANZA,108012,BRUGHERIO,33232,136.94,0.00,0.00
2011, 18,PAVIA,18110,PAVIA,68352,131.62,0.96,1.28
2011, 17,BRESCIA,17029,BRESCIA,189085,134.00,1.11,1.51
2011, 108,MONZA E DELLA BRIANZA,108033,MONZA,119928,128.82,0.68,0.88
2011, 18,PAVIA,18177,VIGEVANO,60002,140.94,0.82,1.17
2011, 16,BERGAMO,16219,TREVIGLIO,28496,131.62,0.00,0.00
2011, 15,MILANO,15027,BOLLATE,35530,134.07,0.00,0.00
2011, 19,CREMONA,19036,CREMONA,69675,130.31,0.55,0.72
2011, 16,BERGAMO,16091,DALMINE,22846,126.67,0.75,0.95
2011, 15,MILANO,15168,PARABIAGO,26555,135.71,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108028,LISSONE,42199,132.19,0.00,0.00
2011, 15,MILANO,15220,TREZZANO SUL NAVIGLIO,20058,140.74,0.00,0.00
2011, 108,MONZA E DELLA BRIANZA,108023,DESIO,40342,141.03,0.00,0.00
2011, 17,BRESCIA,17113,MONTICHIARI,23708,138.38,3.52,5.05
2011, 15,MILANO,15209,SESTO SAN GIOVANNI,76432,137.39,0.63,0.87
2011, 108,MONZA E DELLA BRIANZA,108039,SEREGNO,43013,133.84,0.38,0.51
2011, 108,MONZA E DELLA BRIANZA,108027,LIMBIATE,33876,129.17,1.59,2.08
2011, 12,VARESE,12026,BUSTO ARSIZIO,79392,139.07,0.83,1.17
2011, 15,MILANO,15081,COLOGNO MONZESE,45688,125.00,0.00,0.00
2011, 13,COMO,13075,COMO,82124,130.89,0.82,1.08
2011, 15,MILANO,15032,BRESSO,25729,124.00,1.06,1.33
2011, 15,MILANO,15146,MILANO,1240173,134.38,0.34,0.46
2011, 15,MILANO,15087,CORNAREDO,20095,123.21,0.00,0.00
2011, 13,COMO,13143,MARIANO COMENSE,23552,150.72,0.00,0.00
2011, 16,BERGAMO,16198,SERIATE,24462,133.93,1.32,1.79
2011, 15,MILANO,15130,MAGENTA,22888,142.67,1.83,2.67
2011, 15,MILANO,15074,CESANO BOSCONE,23235,144.44,1.09,1.59
2011, 15,MILANO,15171,PESCHIERA BORROMEO,22244,134.78,1.06,1.45
2011, 15,MILANO,15175,PIOLTELLO,35064,143.10,1.19,1.72
2011, 15,MILANO,15192,SAN DONATO MILANESE,30995,129.00,0.77,1.00
2011, 20,MANTOVA,20065,SUZZARA,20536,145.68,0.84,1.23
2011, 108,MONZA E DELLA BRIANZA,108040,SEVESO,22741,133.93,0.00,0.00
2011, 14,SONDRIO,14061,SONDRIO,21635,146.38,0.98,1.45
2011, 12,VARESE,12070,GALLARATE,50354,136.27,0.74,1.02
2012, 15,MILANO,15220,TREZZANO SUL NAVIGLIO,20213,132.93,0.91,1.22
2012, 20,MANTOVA,20030,MANTOVA,47223,132.33,0.68,0.91
2012, 108,MONZA E DELLA BRIANZA,108033,MONZA,120440,126.98,0.79,1.01
2012, 108,MONZA E DELLA BRIANZA,108035,NOVA MILANESE,22335,127.87,0.00,0.00
2012, 108,MONZA E DELLA BRIANZA,108024,GIUSSANO,24854,128.85,0.00,0.00
2012, 14,SONDRIO,14061,SONDRIO,21536,154.67,2.52,4.00
2012, 15,MILANO,15175,PIOLTELLO,35770,131.88,1.09,1.45
2012, 15,MILANO,15002,ABBIATEGRASSO,31325,113.54,1.80,2.08
2012, 17,BRESCIA,17113,MONTICHIARI,24287,137.36,6.02,8.79
2012, 17,BRESCIA,17096,LUMEZZANE,23320,116.67,0.00,0.00
2012, 20,MANTOVA,20065,SUZZARA,20768,120.00,3.23,4.00
2012, 97,LECCO,97042,LECCO,47240,127.95,0.00,0.00
2012, 98,LODI,98031,LODI,43465,124.87,1.20,1.52
2012, 108,MONZA E DELLA BRIANZA,108028,LISSONE,44585,139.62,1.33,1.89
2012, 108,MONZA E DELLA BRIANZA,108040,SEVESO,22975,129.27,0.00,0.00
2012, 108,MONZA E DELLA BRIANZA,108019,CESANO MADERNO,37374,157.85,0.00,0.00
2012, 12,VARESE,12070,GALLARATE,50961,140.81,0.52,0.74
2012, 12,VARESE,12026,BUSTO ARSIZIO,79563,141.64,0.60,0.85
2012, 15,MILANO,15070,CERNUSCO SUL NAVIGLIO,31050,125.96,3.68,4.81
2012, 15,MILANO,15205,SEGRATE,33636,118.90,1.02,1.22
2012, 16,BERGAMO,16024,BERGAMO,115072,129.44,0.24,0.32
2012, 12,VARESE,12119,SARONNO,38902,127.12,0.00,0.00
2012, 13,COMO,13041,CANTU',39272,151.94,0.51,0.78
2012, 15,MILANO,15192,SAN DONATO MILANESE,31196,139.86,1.53,2.17
2012, 15,MILANO,15036,BUCCINASCO,26982,124.64,1.15,1.45
2012, 15,MILANO,15116,LAINATE,25182,140.96,0.85,1.20
2012, 15,MILANO,15074,CESANO BOSCONE,23135,117.54,2.90,3.51
2012, 15,MILANO,15032,BRESSO,25753,118.67,0.00,0.00
2012, 17,BRESCIA,17029,BRESCIA,188520,142.54,0.70,1.00
2012, 19,CREMONA,19036,CREMONA,72137,127.60,0.88,1.13
2012, 20,MANTOVA,20017,CASTIGLIONE DELLE STIVIERE,22583,135.29,2.54,3.53
2012, 108,MONZA E DELLA BRIANZA,108012,BRUGHERIO,33478,136.73,0.00,0.00
2012, 12,VARESE,12040,CASSANO MAGNAGO,21565,131.33,0.91,1.20
2012, 15,MILANO,15182,RHO,50198,141.13,0.75,1.06
2012, 15,MILANO,15195,SAN GIULIANO MILANESE,36460,149.09,0.81,1.21
2012, 16,BERGAMO,16198,SERIATE,24816,140.00,0.79,1.11
2012, 18,PAVIA,18177,VIGEVANO,61242,134.48,0.57,0.77
2012, 18,PAVIA,18110,PAVIA,68313,141.98,0.35,0.49
2012, 108,MONZA E DELLA BRIANZA,108027,LIMBIATE,34370,136.05,0.85,1.16
2012, 13,COMO,13075,COMO,83422,132.57,0.62,0.83
2012, 15,MILANO,15146,MILANO,1262101,132.51,0.43,0.57
2012, 15,MILANO,15081,COLOGNO MONZESE,46248,143.42,0.00,0.00
2012, 15,MILANO,15189,ROZZANO,40607,140.24,0.00,0.00
2012, 15,MILANO,15166,PADERNO DUGNANO,46785,134.39,0.78,1.06
2012, 15,MILANO,15105,GARBAGNATE MILANESE,26508,137.97,0.91,1.27
2012, 15,MILANO,15157,NOVATE MILANESE,20145,119.35,0.00,0.00
2012, 15,MILANO,15206,SENAGO,21121,155.56,2.33,3.70
2012, 108,MONZA E DELLA BRIANZA,108050,VIMERCATE,25497,164.46,0.50,0.83
2012, 108,MONZA E DELLA BRIANZA,108030,MEDA,23251,157.14,0.00,0.00
2012, 12,VARESE,12133,VARESE,79333,136.33,0.97,1.33
2012, 15,MILANO,15086,CORMANO,20055,151.89,1.83,2.83
2012, 15,MILANO,15118,LEGNANO,58335,139.42,0.30,0.41
2012, 15,MILANO,15171,PESCHIERA BORROMEO,22515,136.36,0.00,0.00
2012, 15,MILANO,15209,SESTO SAN GIOVANNI,76791,123.81,2.35,2.98
2012, 16,BERGAMO,16219,TREVIGLIO,28765,145.45,0.00,0.00
2012, 16,BERGAMO,16091,DALMINE,22948,125.89,0.00,0.00
2012, 18,PAVIA,18182,VOGHERA,38274,140.21,2.57,3.70
2012, 19,CREMONA,19035,CREMA,33556,136.36,0.47,0.65
2012, 108,MONZA E DELLA BRIANZA,108039,SEREGNO,43568,137.63,0.74,1.03
2012, 13,COMO,13143,MARIANO COMENSE,23667,130.68,2.54,3.41
2012, 15,MILANO,15077,CINISELLO BALSAMO,71840,132.84,0.44,0.59
2012, 15,MILANO,15093,CORSICO,34621,132.68,0.00,0.00
2012, 15,MILANO,15027,BOLLATE,35467,126.27,0.67,0.85
2012, 15,MILANO,15168,PARABIAGO,26716,129.33,0.00,0.00
2012, 15,MILANO,15130,MAGENTA,22930,124.59,0.00,0.00
2012, 17,BRESCIA,17067,DESENZANO DEL GARDA,27050,135.66,1.69,2.33
2012, 108,MONZA E DELLA BRIANZA,108023,DESIO,40937,142.25,0.00,0.00
2012, 108,MONZA E DELLA BRIANZA,108034,MUGGIO',23443,130.16,2.38,3.17
2013,15,MILANO,15086,CORMANO,20059,143.21,0.00,0.00
2013,13,COMO,13075,COMO,84834,134.06,0.36,0.48
2013,15,MILANO,15087,CORNAREDO,20289,121.31,0.00,0.00
2013,15,MILANO,15171,PESCHIERA BORROMEO,23091,152.94,0.00,0.00
2013,15,MILANO,15220,TREZZANO SUL NAVIGLIO,20497,144.12,1.01,1.47
2013,17,BRESCIA,17113,MONTICHIARI,24815,150.62,0.81,1.23
2013,18,PAVIA,18177,VIGEVANO,63268,140.33,0.29,0.41
2013,12,VARESE,12026,BUSTO ARSIZIO,81744,135.82,0.21,0.29
2013,14,SONDRIO,14061,SONDRIO,22095,129.58,0.00,0.00
2013,15,MILANO,15166,PADERNO DUGNANO,47048,145.41,1.47,2.16
2013,16,BERGAMO,16024,BERGAMO,118717,136.90,0.34,0.47
2013,18,PAVIA,18110,PAVIA,71297,129.92,0.39,0.51
2013,97,LECCO,97042,LECCO,48131,127.66,0.66,0.85
2013,108,MONZA E DELLA BRIANZA,108033,MONZA,123151,130.89,0.42,0.55
2013,16,BERGAMO,16198,SERIATE,25141,141.18,0.83,1.18
2013,17,BRESCIA,17067,DESENZANO DEL GARDA,28031,137.14,0.52,0.71
2013,15,MILANO,15209,SESTO SAN GIOVANNI,80932,115.65,1.48,1.74
2013,108,MONZA E DELLA BRIANZA,108050,VIMERCATE,25761,130.21,0.79,1.04
2013,13,COMO,13143,MARIANO COMENSE,24054,132.50,0.00,0.00
2013,15,MILANO,15070,CERNUSCO SUL NAVIGLIO,32527,140.00,0.71,1.00
2013,16,BERGAMO,16219,TREVIGLIO,29129,135.71,2.06,2.86
2013,15,MILANO,15032,BRESSO,26240,110.53,4.55,5.26
2013,15,MILANO,15189,ROZZANO,42415,141.84,0.00,0.00
2013,15,MILANO,15105,GARBAGNATE MILANESE,27152,134.72,0.00,0.00
2013,18,PAVIA,18182,VOGHERA,39356,148.07,1.11,1.66
2013,108,MONZA E DELLA BRIANZA,108034,MUGGIO',23457,120.00,0.00,0.00
2013,12,VARESE,12070,GALLARATE,52455,135.29,0.24,0.33
2013,13,COMO,13041,CANTU',39900,128.10,0.00,0.00
2013,15,MILANO,15146,MILANO,1324169,131.43,0.26,0.34
2013,15,MILANO,15036,BUCCINASCO,27071,120.97,1.32,1.61
2013,15,MILANO,15192,SAN DONATO MILANESE,32417,147.00,0.68,1.00
2013,108,MONZA E DELLA BRIANZA,108023,DESIO,41530,136.30,0.54,0.74
2013,17,BRESCIA,17133,PALAZZOLO SULL'OGLIO,20036,140.28,1.94,2.78
2013,98,LODI,98031,LODI,44529,145.41,1.04,1.53
2013,108,MONZA E DELLA BRIANZA,108024,GIUSSANO,25199,145.05,0.00,0.00
2013,15,MILANO,15175,PIOLTELLO,36782,138.67,1.89,2.67
2013,108,MONZA E DELLA BRIANZA,108035,NOVA MILANESE,23385,137.50,0.00,0.00
2013,108,MONZA E DELLA BRIANZA,108028,LISSONE,44334,142.14,0.44,0.63
2013,15,MILANO,15081,COLOGNO MONZESE,47544,126.47,2.71,3.53
2013,15,MILANO,15116,LAINATE,25573,131.88,1.09,1.45
2013,12,VARESE,12119,SARONNO,39422,135.57,0.49,0.67
2013,108,MONZA E DELLA BRIANZA,108012,BRUGHERIO,34056,149.52,0.63,0.95
2013,108,MONZA E DELLA BRIANZA,108027,LIMBIATE,35417,138.95,0.00,0.00
2013,15,MILANO,15118,LEGNANO,60269,132.31,0.00,0.00
2013,15,MILANO,15130,MAGENTA,23511,124.32,1.08,1.35
2013,15,MILANO,15093,CORSICO,35196,137.84,0.97,1.35
2013,15,MILANO,15195,SAN GIULIANO MILANESE,37707,152.76,0.65,1.01
2013,20,MANTOVA,20030,MANTOVA,48588,130.45,0.29,0.38
2013,108,MONZA E DELLA BRIANZA,108040,SEVESO,23240,135.85,0.00,0.00
2013,108,MONZA E DELLA BRIANZA,108019,CESANO MADERNO,38027,144.55,0.00,0.00
2013,20,MANTOVA,20017,CASTIGLIONE DELLE STIVIERE,22963,135.42,1.52,2.08
2013,15,MILANO,15206,SENAGO,21357,136.36,1.32,1.82
2013,15,MILANO,15002,ABBIATEGRASSO,32295,121.90,2.29,2.86
2013,15,MILANO,15027,BOLLATE,36164,142.06,1.30,1.87
2013,15,MILANO,15168,PARABIAGO,27518,138.38,0.72,1.01
2013,15,MILANO,15074,CESANO BOSCONE,23592,126.87,1.16,1.49
2013,19,CREMONA,19036,CREMONA,71184,133.26,0.00,0.00
2013,108,MONZA E DELLA BRIANZA,108039,SEREGNO,44212,134.01,0.38,0.51
2013,20,MANTOVA,20065,SUZZARA,21049,164.37,2.05,3.45
2013,15,MILANO,15157,NOVATE MILANESE,20165,148.44,0.00,0.00
2013,15,MILANO,15182,RHO,50844,138.52,1.17,1.64
2013,15,MILANO,15205,SEGRATE,34611,139.84,0.58,0.81
2013,12,VARESE,12133,VARESE,80927,135.07,0.60,0.82
2013,12,VARESE,12040,CASSANO MAGNAGO,21647,142.86,1.79,2.60
2013,17,BRESCIA,17029,BRESCIA,193599,130.00,0.76,0.99
2013,15,MILANO,15077,CINISELLO BALSAMO,74669,132.54,0.45,0.60
2013,16,BERGAMO,16091,DALMINE,23169,151.00,0.66,1.00
2013,19,CREMONA,19035,CREMA,34284,134.66,2.07,2.84
2013,108,MONZA E DELLA BRIANZA,108030,MEDA,23493,129.49,0.00,0.00
2013,17,BRESCIA,17096,LUMEZZANE,23213,125.64,2.00,2.56
2014,15,MI,15182,RHO,50496,136.15,0.68,0.94
2014,15,MI,15108,GORGONZOLA,20076,139.53,7.69,11.63
2014,15,MI,15168,PARABIAGO,27665,136.54,0.00,0.00
2014,12,VA,12040,CASSANO MAGNAGO,21677,146.48,1.89,2.82
2014,15,MI,15077,CINISELLO BALSAMO,75191,139.86,1.21,1.72
2014,18,PV,18110,PAVIA,72205,133.95,0.78,1.05
2014,15,MI,15118,LEGNANO,60451,140.27,0.32,0.45
2014,15,MI,15209,SESTO SAN GIOVANNI,81490,135.71,0.58,0.79
2014,98,LO,98031,LODI,44769,150.00,0.00,0.00
2014,108,MB,108039,SEREGNO,44500,134.64,0.41,0.56
2015,15,MI,15192,SAN DONATO MILANESE,32492,133.90,0.00,0.00
2014,108,MB,108050,VIMERCATE,25839,128.57,1.46,1.90
2014,12,VA,12119,SARONNO,39437,124.24,0.97,1.21
2014,15,MI,15086,CORMANO,20173,138.20,0.81,1.12
2014,15,MI,15146,MILANO,1337155,130.49,0.36,0.47
2014,15,MI,15220,TREZZANO SUL NAVIGLIO,20696,145.07,0.00,0.00
2014,15,MI,15175,PIOLTELLO,36912,125.00,1.23,1.56
2014,15,MI,15189,ROZZANO,42593,148.70,0.00,0.00
2014,15,MI,15074,CESANO BOSCONE,23535,129.49,0.98,1.28
2014,20,MN,20017,CASTIGLIONE DELLE STIVIERE,23157,174.47,2.38,4.26
2014,15,MI,15081,COLOGNO MONZESE,47942,132.07,0.41,0.54
2014,16,BG,16024,BERGAMO,119002,135.98,0.32,0.44
2014,16,BG,16198,SERIATE,25276,136.21,1.25,1.72
2014,108,MB,108019,CESANO MADERNO,38203,141.51,0.66,0.94
