Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Luca Maggioni,M,SBD,Raw,25.5,24-34,24-39,Senior,72.78,74,205,220,230,,230,135,140,145,,145,210,225,237.5,,237.5,612.5,8,448.10,445.87,431.37,90.70,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mattia De Martino,M,SBD,Raw,31.5,24-34,24-39,Senior,60.69,66,95,100,105,,105,55,57.5,60,,60,105,115,125,,125,290,36,242.50,244.78,238.88,47.27,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Secco,M,SBD,Raw,,,,Senior,60.26,66,105,107.5,112.5,,112.5,67.5,70,-72.5,,70,105,112.5,120,,120,302.5,35,254.42,256.98,250.88,49.49,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Sacchetti,M,SBD,Raw,,,,Senior,64.83,66,127.5,137.5,-145,,137.5,82.5,87.5,-95,,87.5,140,150,160,,160,385,34,305.72,306.82,298.40,60.59,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Gianni Mei,M,SBD,Raw,,,,Senior,64.9,66,145,155,162.5,,162.5,95,100,-102.5,,100,170,180,-187.5,,180,442.5,32,351.10,352.33,342.64,69.60,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Caro,M,SBD,Raw,,,,Senior,64.76,66,152.5,160,167.5,,167.5,90,95,-97.5,,95,162.5,172.5,180,,180,442.5,31,351.67,352.97,343.30,69.68,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giuseppe Garritano,M,SBD,Raw,,,,Senior,65.5,66,135,145,155,,155,107.5,-112.5,-112.5,,107.5,180,192.5,-200,,192.5,455,28,358.53,359.51,349.47,71.21,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
William Tancredi,M,SBD,Raw,26,24-34,24-39,Senior,65.37,66,160,167.5,-175,,167.5,-102.5,102.5,-110,,102.5,170,185,-195,,185,455,27,359.06,360.11,350.08,71.29,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mario Mercurio Guglielmo,M,SBD,Raw,,,,Senior,63.53,66,135,145,155,,155,112.5,120,125,,125,175,187.5,-200,,187.5,467.5,24,377.03,379.03,369.00,74.36,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Simone Campitelli,M,SBD,Raw,,,,Senior,64.11,66,165,172.5,180,,180,110,115,117.5,,117.5,170,177.5,-187.5,,177.5,475,22,380.41,382.14,371.85,75.19,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Moraldo,M,SBD,Raw,23.5,24-34,24-39,Senior,63.78,66,162.5,170,172.5,,172.5,90,95,100,,100,-190,195,212.5,,212.5,485,19,389.96,391.90,381.45,76.99,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Francesco Fiorillo,M,SBD,Raw,28.5,24-34,24-39,Senior,65.14,66,157.5,167.5,172.5,,172.5,105,112.5,-115,,112.5,192.5,200,205,,205,490,18,387.71,388.95,378.18,76.92,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Raffaell Giammichele,M,SBD,Raw,,,,Senior,65.87,66,165,175,-180,,175,-117.5,117.5,120,,120,210,220,-230,,220,515,15,404.11,405.03,393.61,80.36,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Crudu,M,SBD,Raw,24,24-34,24-39,Senior,65.32,66,190,202.5,210,,210,-120,122.5,127.5,,127.5,220,235,245,,245,582.5,4,459.94,461.31,448.48,91.30,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Giordano,M,SBD,Raw,,,,Senior,57.12,59,120,125,-132.5,,125,72.5,80,-85,,80,130,-140,145,,145,350,8,307.91,312.57,306.10,58.93,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giacomo Marinone,M,SBD,Raw,42.5,40-44,40-49,Senior,57.4,59,130,137.5,-142.5,,137.5,85,-90,-90,,85,150,165,-192.5,,165,387.5,7,339.46,344.44,337.21,65.07,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Xaxa,M,SBD,Raw,36.5,35-39,24-39,Senior,58.36,59,-135,135,142.5,,142.5,95,100,-102.5,,100,187.5,190,-195,,190,432.5,3,373.57,378.46,370.15,71.99,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Grivet,M,SBD,Raw,33.5,24-34,24-39,Senior,104.56,105,210,225,-237.5,,225,145,152.5,157.5,,157.5,250,265,-280,,265,647.5,19,391.17,387.49,370.01,80.10,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Roberto Biolcati Rinaldi,M,SBD,Raw,,,,Senior,87.04,93,175,185,-197.5,,185,130,137.5,-142.5,,137.5,200,212.5,225,,225,547.5,86,360.17,355.72,341.44,74.00,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Emanuele Bassetti,M,SBD,Raw,29,24-34,24-39,Senior,88.59,93,217.5,227.5,-230,,227.5,137.5,142.5,147.5,,147.5,245,260,-265,,260,635,46,413.91,408.70,391.97,85.08,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Renna,M,SBD,Raw,25.5,24-34,24-39,Senior,91.72,93,220,230,240,,240,145,152.5,-155,,152.5,225,237.5,245,,245,637.5,45,408.35,403.15,386.07,83.97,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Leonardo Marco Giliberto,M,SBD,Raw,31.5,24-34,24-39,Senior,92.82,93,235,245,252.5,,252.5,165,172.5,-177.5,,172.5,285,300,315,,315,740,8,471.27,465.29,445.36,96.90,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Tardioli,M,SBD,Raw,32.5,24-34,24-39,Senior,91.73,93,220,235,-245,,235,170,180,-190,,180,240,257.5,270,,270,685,21,438.75,433.17,414.81,90.22,Yes,Italy,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mattia Puntarello,M,SBD,Raw,28.5,24-34,24-39,Senior,57.84,59,-135,135,142.5,,142.5,80,85,90,,90,-175,182.5,190,,190,422.5,4,367.71,372.84,364.85,70.66,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo Fellini,M,SBD,Raw,25.5,24-34,24-39,Senior,86.66,93,215,227.5,240,,240,132.5,-140,147.5,,147.5,240,252.5,265,,265,652.5,37,430.24,424.96,407.97,88.39,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Leonardo Baio,M,SBD,Raw,,,,Senior,94.97,105,185,-195,200,,200,120,125,-130,,125,190,200,-207.5,,200,525,39,330.73,326.61,312.36,67.98,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alberto Lovino,M,SBD,Raw,,,,Senior,73.94,74,185,195,-205,,195,115,120,122.5,,122.5,200,215,225,,225,542.5,25,392.79,390.45,377.50,79.68,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Jacopo Sala,M,SBD,Raw,23.5,24-34,24-39,Senior,92.16,93,225,237.5,247.5,,247.5,140,145,-150,,145,250,270,-277.5,,270,662.5,27,423.37,417.99,400.20,87.05,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Enea Salicioni,M,SBD,Raw,,,,Senior,79.77,83,155,162.5,-172.5,,162.5,-102.5,107.5,110,,110,185,200,205,,205,477.5,61,329.82,326.58,314.71,67.44,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Della Balda,M,SBD,Raw,,,,Senior,81.54,83,160,167.5,-180,,167.5,110,117.5,125,,125,190,207.5,220,,220,512.5,52,349.49,345.77,332.87,71.58,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Villa,M,SBD,Raw,23.5,24-34,24-39,Senior,82.58,83,-185,192.5,205,,205,115,122.5,125,,125,195,212.5,-220,,212.5,542.5,41,367.28,363.21,349.47,75.29,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Delle Noci,M,SBD,Raw,,,,Senior,72.91,74,195,-205,-205,,195,135,140,-145,,140,215,225,-235,,225,560,20,409.20,407.12,393.85,82.85,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Pier Paolo Sorrentino,M,SBD,Raw,27.5,24-34,24-39,Senior,104.03,105,235,245,-252.5,,245,137.5,145,-150,,145,272.5,287.5,-300,,287.5,677.5,12,410.14,406.18,387.84,84.01,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Carlos Mayorga,M,SBD,Raw,31.5,24-34,24-39,Senior,100.52,105,210,220,235,,235,140,142.5,-155,,142.5,250,260,-270,,260,637.5,22,391.51,387.18,369.77,80.34,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Samuele Rubattu,M,SBD,Raw,,,,Senior,91.1,93,190,200,210,,210,120,130,-137.5,,130,215,230,240,,240,580,70,372.76,368.02,352.52,76.65,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Raffaele Pagano,M,SBD,Raw,,,,Senior,92.6,93,240,247.5,-250,,247.5,160,165,-170,,165,230,250,-262.5,,250,662.5,28,422.39,417.03,399.21,86.85,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alessandro Gallini Pirani,M,SBD,Raw,,,,Senior,72.82,74,180,190,200,,200,125,130,137.5,,137.5,205,220,230,,230,567.5,18,415.02,412.95,399.51,84.01,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Roberto Di Giuseppe,M,SBD,Raw,,,,Senior,100.14,105,155,162.5,170,,170,120,125,-130,,125,190,202.5,215,,215,510,40,313.72,310.21,296.28,64.39,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Cristian Cortese,M,SBD,Raw,25.5,24-34,24-39,Senior,91.8,93,230,242.5,-255,,242.5,150,157.5,-170,,157.5,245,260,-275,,260,660,31,422.58,417.20,399.51,86.89,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Davide Caliandro,M,SBD,Raw,,,,Senior,87.07,93,205,217.5,227.5,,227.5,127.5,132.5,140,,140,245,-260,260,,260,627.5,51,412.72,407.62,391.25,84.80,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo Intermite,M,SBD,Raw,,,,Senior,91.03,93,-237.5,245,250,,250,160,167.5,-170,,167.5,260,272.5,285,,285,702.5,13,451.66,445.91,427.16,92.87,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Giovannetti,M,SBD,Raw,27.5,24-34,24-39,Senior,81.15,83,180,190,200,,200,95,100,107.5,,107.5,210,220,-230,,220,527.5,46,360.72,356.93,343.70,73.86,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Saverio Sciutto,M,SBD,Raw,29.5,24-34,24-39,Senior,79.85,83,180,190,200,,200,-105,110,115,,115,200,220,230,,230,545,37,376.22,372.51,358.96,76.94,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Olden Thames,M,SBD,Raw,37,35-39,24-39,Senior,118.67,120,240,257.5,270,,270,192.5,202.5,-207.5,,202.5,235,255,-260,,255,727.5,9,419.37,419.36,401.79,84.98,Yes,USA,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alessandro Bazzi,M,SBD,Raw,,,,Senior,87.4,93,152.5,162.5,170,,170,105,112.5,-115,,112.5,190,202.5,-215,,202.5,485,97,318.36,314.41,301.73,65.42,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Yuri Malatesti,M,SBD,Raw,30.5,24-34,24-39,Senior,91.06,93,185,195,-205,,195,120,127.5,132.5,,132.5,215,230,-240,,230,557.5,81,358.38,353.82,338.93,73.69,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrea Campodonico,M,SBD,Raw,25.5,24-34,24-39,Senior,95.7,105,195,205,215,,215,117.5,122.5,-125,,122.5,215,230,-240,,230,567.5,34,356.24,351.84,336.41,73.22,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Pierfrancesco Di Tria,M,SBD,Raw,36.5,35-39,24-39,Senior,90.56,93,210,-220,-225,,210,125,-132.5,-132.5,,125,200,-215,225,,225,560,80,360.97,356.38,341.47,74.22,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Davide Calzavara,M,SBD,Raw,,,,Senior,98.13,105,215,227.5,237.5,,237.5,157.5,165,170,,170,220,230,240,,240,647.5,18,401.86,397.12,379.43,82.54,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Edoardo Pieroni,M,SBD,Raw,29.5,24-34,24-39,Senior,91.63,93,230,237.5,242.5,,242.5,132.5,-137.5,140,,140,265,277.5,-290,,277.5,660,30,422.96,417.58,399.91,86.97,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giuseppe De Cesare,M,SBD,Raw,,,,Senior,92.08,93,220,-232.5,232.5,,232.5,147.5,152.5,155,,155,-240,240,-255,,240,627.5,52,401.17,396.07,379.23,82.49,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giorgio Di Dedda,M,SBD,Raw,26.5,24-34,24-39,Senior,91.44,93,220,230,235,,235,142.5,147.5,-152.5,,147.5,245,257.5,-267.5,,257.5,640,41,410.57,405.34,388.22,84.42,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Nicolò Gerosa,M,SBD,Raw,34.5,24-34,24-39,Senior,91.45,93,250,260,270,,270,-140,145,150,,150,265,275,-280,,275,695,16,445.83,440.15,421.55,91.67,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Olmo Gasperini,M,SBD,Raw,,,,Senior,74,74,190,-200,200,,200,140,145,-150,,145,-235,245,255,,255,600,12,434.19,431.59,417.26,88.09,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Carletti,M,SBD,Raw,25.5,24-34,24-39,Senior,79.87,83,147.5,-155,-155,,147.5,105,110,-115,,110,190,200,-210,,200,457.5,64,315.77,312.66,301.27,64.58,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Ares Anelli,M,SBD,Raw,34.5,24-34,24-39,Senior,81.96,83,160,170,180,,180,100,107.5,112.5,,112.5,175,187.5,200,,200,492.5,60,334.86,331.24,318.81,68.61,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo Paganin,M,SBD,Raw,,,,Senior,81.84,83,190,200,-210,,200,105,110,115,,115,240,-250,250,,250,565,31,384.48,380.33,366.09,78.77,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Gianmarco Di Maggio,M,SBD,Raw,,,,Senior,84.48,93,160,172.5,180,,180,-117.5,125,130,,130,207.5,222.5,240,,240,550,84,367.67,363.36,349.24,75.46,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michael Benedettini,M,SBD,Raw,,,,Senior,81.5,83,-187.5,195,205,,205,130,-135,-135,,130,210,225,240,,240,575,24,392.22,388.05,373.59,80.33,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Scarpa,M,SBD,Raw,27,24-34,24-39,Senior,82.48,83,-200,200,-215,,200,115,125,-135,,125,200,220,-240,,220,545,40,369.23,365.15,351.35,75.68,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Manuel Lanuara,M,SBD,Raw,,,,Senior,81.72,83,-210,220,240,,240,135,140,-142.5,,140,240,250,-260,,250,630,12,429.07,424.47,408.60,87.90,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Elia Giannotti,M,SBD,Raw,27,24-34,24-39,Senior,87.77,93,250,-260,265,,265,145,152.5,-160,,152.5,255,265,275,,275,692.5,17,453.56,447.91,429.76,93.21,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Walter Piccione,M,SBD,Raw,28.5,24-34,24-39,Senior,82.15,83,220,232.5,240,,240,-147.5,150,-155,,150,272.5,-285,285,,285,675,5,458.35,453.34,436.29,93.93,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Fabio Mirolli,M,SBD,Raw,,,,Senior,72.04,74,157.5,167.5,175,,175,-110,-110,110,,110,170,182.5,190,,190,475,36,349.88,348.37,337.19,70.72,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Mattia Soma,M,SBD,Raw,24.5,24-34,24-39,Senior,79.46,83,-177.5,-177.5,177.5,,177.5,95,100,105,,105,190,205,217.5,,217.5,500,56,346.16,342.82,330.42,70.76,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Andrei Popescu,M,SBD,Raw,25.5,24-34,24-39,Senior,80.03,83,167.5,177.5,-185,,177.5,115,120,-130,,120,180,190,200,,200,497.5,59,342.97,339.56,327.17,70.15,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Bianchi,M,SBD,Raw,25.5,24-34,24-39,Senior,72.93,74,162.5,172.5,-180,,172.5,105,110,-115,,110,177.5,192.5,-200,,192.5,475,37,347.03,345.26,334.00,70.26,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Dario Petrosino,M,SBD,Raw,,,,Senior,77.85,83,165,175,185,,185,125,130,132.5,,132.5,170,180,-190,,180,497.5,58,348.70,345.66,333.45,71.15,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Michele Ronzoni,M,SBD,Raw,28.5,24-34,24-39,Senior,73.63,74,165,177.5,185,,185,115,120,122.5,,122.5,185,200,-210,,200,507.5,31,368.45,366.36,354.27,74.70,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Francesc Costantino,M,SBD,Raw,,,,Senior,66,66,175,-182.5,182.5,,182.5,100,105,-107.5,,105,187.5,195,205,,205,492.5,17,385.89,386.71,375.77,76.77,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Matteo Pirajno,M,SBD,Raw,,,,Senior,64.76,66,-185,185,-195,,185,110,115,-120,,115,-220,230,240,,240,540,12,429.16,430.74,418.94,85.03,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alberto Soldi,M,SBD,Raw,,,,Senior,72.98,74,210,217.5,-222.5,,217.5,-110,110,115,,115,250,262.5,-267.5,,262.5,595,13,434.50,432.27,418.16,87.98,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo De Monte,M,SBD,Raw,25.5,24-34,24-39,Senior,63.5,66,160,170,175,,175,-85,85,90,,90,170,180,185,,185,450,29,363.04,364.99,355.34,71.60,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Chiabrando,M,SBD,Raw,25.5,24-34,24-39,Senior,58.59,59,150,-160,-160,,150,85,-90,-90,,85,180,-190,-202.5,,180,415,6,357.27,361.81,353.78,68.93,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Stefano Polisini,M,SBD,Raw,28.5,24-34,24-39,Senior,65.55,66,172.5,-180,-180,,172.5,115,120,-125,,120,225,-245,-245,,225,517.5,13,407.54,408.64,397.21,80.96,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Lorenzo Rossi,M,SBD,Raw,,,,Senior,91.42,93,230,237.5,245,,245,150,160,162.5,,162.5,250,-270,,,250,657.5,33,421.84,416.47,398.88,86.74,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Ruben Ilardi,M,SBD,Raw,,,,Senior,82.92,83,150,160,170,,170,120,-125,125,,125,185,195,205,,205,500,57,337.73,333.94,321.24,69.25,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Alessandro Arienti,M,SBD,Raw,23.5,24-34,24-39,Senior,82.34,83,200,210,220,,220,142.5,150,-155,,150,225,237.5,-250,,237.5,607.5,15,411.97,407.44,392.07,84.43,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Sacco,M,SBD,Raw,24,24-34,24-39,Senior,82.65,83,235,247.5,252.5,,252.5,-152.5,157.5,162.5,,162.5,240,257.5,-270,,257.5,672.5,6,455.08,450.02,432.97,93.29,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Luca Polini,M,SBD,Raw,31.5,24-34,24-39,Senior,104.2,105,250,257.5,,,257.5,-155,155,160,,160,275,285,290,,290,707.5,9,428.02,423.92,404.78,87.66,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Giacomo Satta,M,SBD,Raw,26.5,24-34,24-39,Senior,73.2,74,-215,225,-235,,225,130,135,-140,,135,210,222.5,230,,230,590,14,430.00,427.71,413.70,87.11,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Benedetto Tognolli,M,SBD,Raw,30.5,24-34,24-39,Senior,117.5,120,250,-262.5,262.5,,262.5,150,157.5,160,,160,235,245,255,,255,677.5,12,391.87,391.49,375.00,79.49,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
Federico Gamberini,M,SBD,Raw,28.5,24-34,24-39,Senior,100.37,105,250,-265,-270,,250,145,150,-155,,150,260,280,295,,295,695,10,427.10,422.35,403.37,87.65,Yes,,,FIPL,IPF,2023-03-31,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior M,Yes
